# M.A.C.E. Audit Report
# Example Benchmark
# Organization: Example Organization
# Author: John Doe
# Serial Number: XXXXXXXXXX
# Model: MacBook Air
# OS Version: macOS 27.0.0
#
# Summary
# Total: 117
# Passed: 35
# Failed: 80
# Manual Review: 1
# Errors: 0
# Pass Rate: 30.4%
# Platform: macOS
# Version: macOS 26 (Tahoe)
# Compliance: CIS Level 2
# Generated: 2026-08-09T23:54:11Z
#
# Section Summary
# Password Policy: 0/8 passed (0%)
# Supplemental: 0/1 passed (0%)
# iCloud: 0/1 passed (0%)
# System Settings: 11/44 passed (25%)
# Audit: 7/21 passed (33%)
# Operating System: 17/42 passed (40%)
#
Title,Section,Status,Expected Output,Actual Output,Discussion,Comment,Error Message,Timestamp
Ensure Location Services Is In the Menu Bar,system_settings,Fail,1,,,,"Expected: 1, Got: ",2026-08-09T23:53:39Z
Enforce macOS Updates are Automatically Installed,system_settings,Pass,true,true,,,,2026-08-09T23:53:39Z
Enforce Session Lock After Screen Saver is Started,system_settings,Fail,true,false,,,"Expected: true, Got: false",2026-08-09T23:53:39Z
Ensure Time Machine Volumes are Encrypted,system_settings,Pass,0,0,,,,2026-08-09T23:53:39Z
Disable Guest Access to Shared SMB Folders,system_settings,Pass,1,1,,,,2026-08-09T23:53:39Z
Disable Printer Sharing,system_settings,Fail,1,0,,,"Expected: 1, Got: 0",2026-08-09T23:53:39Z
Disable the Guest Account,system_settings,Fail,true,false,,,"Expected: true, Got: false",2026-08-09T23:53:39Z
Enable Location Services,system_settings,Pass,true,true,,,,2026-08-09T23:53:39Z
Require Administrator Password to Modify System-Wide Preferences,system_settings,Fail,1,0,,,"Expected: 1, Got: 0",2026-08-09T23:53:40Z
Disable Improve Search Information to Apple,system_settings,Fail,2,,,,"Expected: 2, Got: ",2026-08-09T23:53:40Z
Disable Server Message Block Sharing,system_settings,Fail,1,0,,,"Expected: 1, Got: 0",2026-08-09T23:53:40Z
Secure Hot Corners,system_settings,Pass,0,0,,,,2026-08-09T23:53:40Z
Disable Remote Management,system_settings,Pass,1,1,,,,2026-08-09T23:53:40Z
Configure Login Window to Prompt for Username and Password,system_settings,Fail,true,,,,"Expected: true, Got: ",2026-08-09T23:53:41Z
Disable Personalized Advertising,system_settings,Fail,false,,,,"Expected: false, Got: ",2026-08-09T23:53:41Z
Configure Time Machine for Automatic Backups,system_settings,Fail,true,,,,"Expected: true, Got: ",2026-08-09T23:53:41Z
Disable Password Hints,system_settings,Fail,0,,,,"Expected: 0, Got: ",2026-08-09T23:53:41Z
Disable Screen Sharing and Apple Remote Desktop,system_settings,Pass,PASS,PASS,,,,2026-08-09T23:53:41Z
Disable External Intelligence Integrations,system_settings,Fail,false,,,,"Expected: false, Got: ",2026-08-09T23:53:41Z
Enforce Screen Saver Timeout,system_settings,Fail,true,false,,,"Expected: true, Got: false",2026-08-09T23:53:41Z
Ensure Software Update is Updated and Current,system_settings,Pass,1,1,,,,2026-08-09T23:53:41Z
Disable SSH Server for Remote Access Sessions,system_settings,Pass,PASS,PASS,,,,2026-08-09T23:53:41Z
Enforce FileVault,system_settings,Fail,1,0,,,"Expected: 1, Got: 0",2026-08-09T23:53:41Z
Disable Content Caching Service,system_settings,Fail,false,,,,"Expected: false, Got: ",2026-08-09T23:53:41Z
Disable Internet Sharing,system_settings,Fail,true,,,,"Expected: true, Got: ",2026-08-09T23:53:41Z
Enable macOS Application Firewall,system_settings,Fail,true,,,,"Expected: true, Got: ",2026-08-09T23:53:42Z
Enforce Software Update Downloads Updates Automatically,system_settings,Pass,true,true,,,,2026-08-09T23:53:42Z
Enforce Critical Security Updates to be Installed,system_settings,Pass,true,true,,,,2026-08-09T23:53:42Z
Disable Siri,system_settings,Fail,false,,,,"Expected: false, Got: ",2026-08-09T23:53:42Z
Disable Bluetooth Sharing,system_settings,Fail,0,,,,"Expected: 0, Got: ",2026-08-09T23:53:42Z
Ensure Wake for Network Access Is Disabled,system_settings,Fail,0,1,,,"Expected: 0, Got: 1",2026-08-09T23:53:42Z
Disable Sending Diagnostic and Usage Data to Apple,system_settings,Fail,true,false,,,"Expected: true, Got: false",2026-08-09T23:53:42Z
Disable Improve Siri and Dictation Information to Apple,system_settings,Fail,2,,,,"Expected: 2, Got: ",2026-08-09T23:53:42Z
Configure Login Window to Show A Custom Message,system_settings,Fail,Q2VudGVyIGZvciBJbnRlcm5ldCBTZWN1cml0eSBUZXN0IE1lc3NhZ2UK,,,,"Expected: Q2VudGVyIGZvciBJbnRlcm5ldCBTZWN1cml0eSBUZXN0IE1lc3NhZ2UK, Got: ",2026-08-09T23:53:42Z
Disable Unattended or Automatic Logon to the System,system_settings,Fail,true,,,,"Expected: true, Got: ",2026-08-09T23:53:42Z
Disable External Intelligence Integration Sign In,system_settings,Fail,false,,,,"Expected: false, Got: ",2026-08-09T23:53:42Z
Disable Sending Audio Recordings and Transcripts to Apple,system_settings,Fail,false,,,,"Expected: false, Got: ",2026-08-09T23:53:42Z
Enforce macOS Time Synchronization,system_settings,Fail,true,,,,"Expected: true, Got: ",2026-08-09T23:53:43Z
Enforce Screen Saver Password,system_settings,Fail,true,,,,"Expected: true, Got: ",2026-08-09T23:53:43Z
Configure macOS to Use an Authorized Time Server,system_settings,Fail,time.apple.com,,,,"Expected: time.apple.com, Got: ",2026-08-09T23:53:43Z
Disable Media Sharing,system_settings,Fail,true,false,,,"Expected: true, Got: false",2026-08-09T23:53:43Z
Disable Airplay Receiver,system_settings,Fail,false,,,,"Expected: false, Got: ",2026-08-09T23:53:43Z
Disable Remote Apple Events,system_settings,Fail,1,0,,,"Expected: 1, Got: 0",2026-08-09T23:53:43Z
